JobID|JobIDRaw|JobName|User|Partition|State|QOS|Priority|Reason|Flags|Submit|Eligible|Start|End|Elapsed|ElapsedRaw|Planned|PlannedCPURAW|ReqNodes|ReqCPUS|ReqMem|AllocNodes|AllocCPUS|AllocTRES|NTasks|Timelimit|TimelimitRaw|CPUTimeRAW|NodeList|ExitCode
329|329|sim_1|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:40:46|00:06:14|374|00:00:00|0|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:29:00|29|1122|node[1-3]|0:0
330|330|sim_2|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:40:46|2026-06-19T06:44:24|00:03:38|218|00:06:14|1122|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|654|node[1-3]|0:0
331|331|sim_3|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:44:24|2026-06-19T06:49:20|00:04:56|296|00:09:52|1184|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:11:00|11|592|node[1-2]|0:0
332|332|sim_4|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:50:55|2026-06-19T06:52:19|00:01:24|84|00:16:23|3932|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|336|node[1-4]|0:0
333|333|sim_5|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:44:25|2026-06-19T06:44:25|00:00:00|0|00:09:53|1186|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:01:00|1|0|node[3-4]|0:0
334|334|sim_6|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:52:20|2026-06-19T06:55:50|00:03:30|210|00:17:48|3204|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|630|node[1-3]|0:0
335|335|sim_7|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:05:55|2026-06-19T07:12:32|00:06:37|397|00:31:23|7532|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|1588|node[1-4]|0:0
336|336|sim_8|ivan|debug|TIMEOUT|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:49:25|2026-06-19T06:50:54|00:01:29|89|00:14:53|2679|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:01:00|1|267|node[1-3]|0:0
337|337|sim_9|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:34:55|2026-06-19T06:34:55|00:00:00|0|00:00:23|23|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:01:00|1|0|node4|0:0
338|338|sim_10|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:12:32|2026-06-19T07:14:44|00:02:12|132|00:38:00|4560|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|264|node[1-2]|0:0
339|339|sim_11|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:44:55|2026-06-19T06:44:55|00:00:00|0|00:10:23|1246|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:01:00|1|0|node[3-4]|0:0
340|340|sim_12|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:15:38|2026-06-19T07:22:20|00:06:42|402|00:41:06|9864|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:31:00|31|1608|node[1-4]|0:0
341|341|sim_13|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:55:55|2026-06-19T06:56:17|00:00:22|22|00:21:23|3849|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:01:00|1|66|node[1-3]|0:0
342|342|sim_14|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:45:25|2026-06-19T06:46:11|00:00:46|46|00:10:53|1306|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:09:00|9|92|node[3-4]|0:0
343|343|sim_15|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:56:25|2026-06-19T06:57:03|00:00:38|38|00:21:53|3939|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:02:00|2|114|node[1-3]|0:0
344|344|sim_16|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:57:25|2026-06-19T06:57:25|00:00:00|0|00:22:53|4119|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:02:00|2|0|node[1-3]|0:0
345|345|sim_17|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:22:20|2026-06-19T07:23:47|00:01:27|87|00:47:48|5736|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|174|node[1-2]|0:0
346|346|sim_18|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:46:25|2026-06-19T06:46:25|00:00:00|0|00:11:53|1426|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:04:00|4|0|node[3-4]|0:0
347|347|sim_19|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:25:01|2026-06-19T07:27:10|00:02:09|129|00:50:29|12116|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|516|node[1-4]|0:0
348|348|sim_20|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:27:10|2026-06-19T07:30:41|00:03:31|211|00:52:38|9474|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|633|node[1-3]|0:0
349|349|sim_21|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:35:25|2026-06-19T06:44:07|00:08:42|522|00:00:53|53|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||01:00:00|60|522|node4|0:0
350|350|sim_22|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:57:55|2026-06-19T06:57:56|00:00:01|1|00:23:23|4209|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:01:00|1|3|node[1-3]|0:0
351|351|sim_23|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:58:25|2026-06-19T07:01:05|00:02:40|160|00:23:53|4299|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:11:00|11|480|node[1-3]|0:0
352|352|sim_24|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:30:42|2026-06-19T07:40:46|00:10:04|604|00:56:10|10110|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|1812|node[1-3]|0:0
353|353|sim_25|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:40:46|2026-06-19T07:43:56|00:03:10|190|01:06:14|11922|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|570|node[1-3]|0:0
354|354|sim_26|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:57:49|2026-06-19T07:57:50|00:00:01|1|01:23:17|19988|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:01:00|1|4|node[1-4]|0:0
355|355|sim_27|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T07:01:25|2026-06-19T07:02:59|00:01:34|94|00:26:53|3226|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:09:00|9|188|node[1-2]|0:0
356|356|sim_28|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:32|2026-06-19T06:34:32|2026-06-19T06:46:55|2026-06-19T06:46:55|00:00:00|0|00:12:23|1486|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:03:00|3|0|node[3-4]|0:0
357|357|sim_29|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:47:25|2026-06-19T06:47:25|00:00:00|0|00:12:52|772|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:01:00|1|0|node3|0:0
358|358|sim_30|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:03:25|2026-06-19T07:05:24|00:01:59|119|00:28:52|5196|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:09:00|9|357|node[1-3]|0:0
359|359|sim_31|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:57:52|2026-06-19T08:04:22|00:06:30|390|01:23:19|9998|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|780|node[1-2]|0:0
360|360|sim_32|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:57:52|2026-06-19T08:07:56|00:10:04|604|01:23:19|9998|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|1208|node[3-4]|0:0
361|361|sim_33|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:05:25|2026-06-19T07:05:25|00:00:00|0|00:30:52|5556|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:01:00|1|0|node[1-3]|0:0
362|362|sim_34|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:04:22|2026-06-19T08:04:23|00:00:01|1|01:29:49|10778|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|2|node[1-2]|0:0
363|363|sim_35|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:12:55|2026-06-19T07:13:55|00:01:00|60|00:38:22|4604|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:29:00|29|120|node[3-4]|0:0
364|364|sim_36|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:47:55|2026-06-19T06:47:55|00:00:00|0|00:13:22|1604|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:07:00|7|0|node[3-4]|0:0
365|365|sim_37|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:48:25|2026-06-19T06:48:25|00:00:00|0|00:13:52|1664|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:01:00|1|0|node[3-4]|0:0
366|366|sim_38|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:48:55|2026-06-19T06:49:21|00:00:26|26|00:14:22|862|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:02:00|2|26|node3|0:0
367|367|sim_39|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:17:55|2026-06-19T08:17:55|00:00:00|0|01:43:22|24808|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:01:00|1|0|node[1-4]|0:0
368|368|sim_40|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:52:25|2026-06-19T06:53:58|00:01:33|93|00:17:52|1072|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:13:00|13|93|node4|0:0
369|369|sim_41|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:17:55|2026-06-19T08:19:35|00:01:40|100|01:43:22|12404|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|200|node[1-2]|0:0
370|370|sim_42|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:23:55|2026-06-19T07:24:53|00:00:58|58|00:49:22|8886|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:04:00|4|174|node[1-3]|0:0
371|371|sim_43|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:48:55|2026-06-19T06:50:23|00:01:28|88|00:14:22|862|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:05:00|5|88|node4|0:0
372|372|sim_44|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:24:55|2026-06-19T07:24:55|00:00:00|0|00:50:22|9066|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:01:00|1|0|node[1-3]|0:0
373|373|sim_45|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:23:04|2026-06-19T08:25:26|00:02:22|142|01:48:31|19533|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|426|node[1-3]|0:0
374|374|sim_46|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:25:26|2026-06-19T08:29:27|00:04:01|241|01:50:53|19959|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||01:00:00|60|723|node[1-3]|0:0
375|375|sim_47|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:29:27|2026-06-19T08:33:36|00:04:09|249|01:54:54|13788|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|498|node[1-2]|0:0
376|376|sim_48|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:54:25|2026-06-19T06:54:25|00:00:00|0|00:19:52|1192|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:01:00|1|0|node4|0:0
377|377|sim_49|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:34:00|2026-06-19T08:36:02|00:02:02|122|01:59:27|28668|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:06:00|6|488|node[1-4]|0:0
378|378|sim_50|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:13:55|2026-06-19T07:13:55|00:00:00|0|00:39:22|4724|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:01:00|1|0|node[3-4]|0:0
379|379|sim_51|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:36:02|2026-06-19T08:36:03|00:00:01|1|02:01:29|29156|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:01:00|1|4|node[1-4]|0:0
380|380|sim_52|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:27:25|2026-06-19T07:27:27|00:00:02|2|00:52:52|3172|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||01:00:00|60|2|node4|0:0
381|381|sim_53|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:27:55|2026-06-19T07:36:51|00:08:56|536|00:53:22|3202|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||01:00:00|60|536|node4|0:0
382|382|sim_54|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:36:05|2026-06-19T08:40:19|00:04:14|254|02:01:32|29168|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|1016|node[1-4]|0:0
383|383|sim_55|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:40:19|2026-06-19T08:42:50|00:02:31|151|02:05:46|30184|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:04:00|4|604|node[1-4]|0:0
384|384|sim_56|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:42:50|2026-06-19T08:46:56|00:04:06|246|02:08:17|30788|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||01:00:00|60|984|node[1-4]|0:0
385|385|sim_57|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:46:56|2026-06-19T08:57:01|00:10:05|605|02:12:23|31772|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:16:00|16|2420|node[1-4]|0:0
386|386|sim_58|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:36:55|2026-06-19T07:47:00|00:10:05|605|01:02:22|3742|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||01:00:00|60|605|node4|0:0
387|387|sim_59|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:57:01|2026-06-19T08:57:02|00:00:01|1|02:22:28|34192|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:01:00|1|4|node[1-4]|0:0
388|388|sim_60|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:44:25|2026-06-19T07:44:26|00:00:01|1|01:09:52|12576|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:01:00|1|3|node[1-3]|0:0
389|389|sim_61|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T06:54:55|2026-06-19T07:03:31|00:08:36|516|00:20:22|1222|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:29:00|29|516|node4|0:0
390|390|sim_62|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:14:25|2026-06-19T07:15:38|00:01:13|73|00:39:52|2392|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:09:00|9|73|node3|0:0
391|391|sim_63|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T08:57:04|2026-06-19T09:01:05|00:04:01|241|02:22:31|34204|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:46:00|46|964|node[1-4]|0:0
392|392|sim_64|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T09:01:05|2026-06-19T09:03:53|00:02:48|168|02:26:32|17584|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|336|node[1-2]|0:0
393|393|sim_65|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T09:06:33|2026-06-19T09:10:31|00:03:58|238|02:32:00|36480|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:11:00|11|952|node[1-4]|0:0
394|394|sim_66|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-19T06:34:33|2026-06-19T06:34:33|2026-06-19T07:01:25|2026-06-19T07:02:39|00:01:14|74|00:26:52|1612|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:05:00|5|74|node3|0:0
